id,EAP,HPL,MWS
id02310,0.013895818032324314,0.0023826048709452152,0.9837215542793274
id24541,0.9987135529518127,0.0008040030370466411,0.0004824650241062045
id00134,0.0025529670529067516,0.9966896772384644,0.0007573304465040565
id27757,0.8856188654899597,0.11086305975914001,0.003518021898344159
id04081,0.784824788570404,0.14161156117916107,0.07356366515159607
id27337,0.9958121180534363,0.003016415983438492,0.00117148132994771
id24265,0.9678037166595459,0.018701478838920593,0.013494857586920261
id25917,0.006366672459989786,0.0314440093934536,0.9621893167495728
id04951,0.999013364315033,0.0003275259514339268,0.0006590611883439124
id14549,0.9506780505180359,0.017058590427041054,0.032263342291116714
id22505,0.0027241066563874483,0.0016567776910960674,0.9956191778182983
id24002,0.0002448999148327857,0.9996724128723145,8.26883697300218e-05
id18982,0.06657017767429352,0.9017550349235535,0.03167478367686272
id15181,0.0008647821377962828,0.9989300966262817,0.00020516657968983054
id21888,0.8993760347366333,0.019760634750127792,0.08086328953504562
id12035,0.00820955727249384,0.0007673627696931362,0.991023063659668
id17991,0.21858356893062592,0.009507888928055763,0.7719085812568665
id10707,0.999213457107544,0.00034165402757935226,0.00044493129826150835
id07101,0.5665677189826965,0.07461616396903992,0.35881608724594116
id00345,0.11081916838884354,0.8797719478607178,0.009408851154148579
id05912,0.9681737422943115,0.005612202454358339,0.02621409296989441
id13443,0.9913362860679626,0.002791387727484107,0.005872378125786781
id09248,0.2957945466041565,0.018212145194411278,0.6859933137893677
id17542,0.006579655688256025,0.9903973340988159,0.003022995311766863
id06995,0.005600320175290108,0.00022642046678811312,0.9941732883453369
id25159,0.6749271750450134,0.05242539942264557,0.2726474702358246
id25729,0.10719321668148041,0.8874158263206482,0.005390922073274851
id26949,0.9722238183021545,0.022026069462299347,0.0057501341216266155
id27191,0.08152839541435242,0.0024312767200171947,0.9160403609275818
id07668,0.5356009006500244,0.0019139595096930861,0.46248510479927063
id02230,0.030406029894948006,0.4272443354129791,0.5423495769500732
id15553,0.9992186427116394,0.0001273850939469412,0.0006540203467011452
id25688,0.0005645364290103316,0.9992048144340515,0.00023063473054207861
id17545,0.9969776272773743,0.001993489218875766,0.0010289024794474244
id13929,0.3376498818397522,0.18806268274784088,0.4742874205112457
id12880,0.10515211522579193,0.8823974132537842,0.012450416572391987
id19282,0.5251723527908325,0.3709886968135834,0.10383894294500351
id14690,0.002924432046711445,0.0010497898329049349,0.996025800704956
id17975,0.0033949140924960375,0.9943846464157104,0.002220509108155966
id08037,0.9793387651443481,0.0009806836023926735,0.019680554047226906
id15412,0.015520271845161915,0.0028818233404308558,0.981597900390625
id25032,0.7497149705886841,0.03376026824116707,0.21652479469776154
id27165,0.9990266561508179,0.0003390269121155143,0.0006342558772303164
id03327,0.9353951811790466,0.03663300350308418,0.0279719028621912
id18515,0.9784367084503174,0.003664914984256029,0.017898330464959145
id21003,0.06900212913751602,0.005514698103070259,0.9254831075668335
id23855,0.0006781761185266078,0.9969398379325867,0.0023820241913199425
id20724,0.7610346674919128,0.15498389303684235,0.0839814618229866
id13303,0.7690416574478149,0.054783571511507034,0.17617487907409668
id16521,0.0016828881343826652,0.924229085445404,0.07408803701400757
id20775,0.9992427229881287,0.00021162383200135082,0.0005456758663058281
id13029,0.9969310164451599,0.0015971265966072679,0.0014718685997650027
id14660,0.6546540260314941,0.3292563557624817,0.016089579090476036
id11028,0.0014329140540212393,0.0005859659286215901,0.9979811310768127
id14180,0.981208860874176,0.016952643170952797,0.0018385580042377114
id25860,0.9995014667510986,0.00015312741743400693,0.0003453771350905299
id11910,0.3549967408180237,0.12691645324230194,0.518086850643158
id08065,0.15753059089183807,0.006373954471200705,0.8360954523086548
id22674,0.0028137746267020702,0.0006265277625061572,0.9965596795082092
id25018,0.42961785197257996,0.009848580695688725,0.5605335831642151
id10892,0.0016673603095114231,0.9977788925170898,0.0005537343677133322
id10217,0.07941536605358124,0.9190617799758911,0.001522841863334179
id12996,0.23320958018302917,0.0353497751057148,0.7314406633377075
id18262,0.7727532386779785,0.19693638384342194,0.030310411006212234
id08606,0.0001905874814838171,0.9996663928031921,0.00014306808589026332
id17233,0.9487403631210327,0.004097031429409981,0.04716257005929947
id00101,0.6851353645324707,0.27972161769866943,0.035142991691827774
id12225,0.9640774130821228,0.01850694604218006,0.017415663227438927
id01364,0.0021826662123203278,0.9971883893013,0.0006289242883212864
id24973,0.8935469388961792,0.008309651166200638,0.09814339131116867
id25363,0.9265798330307007,0.00015558379527647048,0.07326450198888779
id10061,0.3573678135871887,0.014243675395846367,0.628388524055481
id17673,0.030072223395109177,0.9508348703384399,0.019092917442321777
id13249,0.3151080012321472,0.017835821956396103,0.6670562028884888
